Measurement,Well,Group,Time,OCR,ECAR,PPR,Cell Number
1,A01,Background,1.35,0,0,0,
1,A02,Background,1.35,0,0,0,
1,A03,Background,1.35,0,0,0,
1,A04,Background,1.35,0,0,0,
1,A05,Background,1.35,0,0,0,
1,A06,Background,1.35,0,0,0,
1,A07,Background,1.35,0,0,0,
1,A08,Background,1.35,0,0,0,
1,A09,Background,1.35,0,0,0,
1,A10,Background,1.35,0,0,0,
1,A11,Background,1.35,0,0,0,
1,A12,Background,1.35,0,0,0,
1,B01,Background,1.35,0,0,0,
1,B02,L_PBMC Frozen 2mo,1.35,-10.15,31.76,56.48,7
1,B03,L_PBMC Frozen 2mo,1.35,42.46,39.57,70.37,7
1,B04,L_PBMC Frozen 2mo,1.35,40.42,38.78,68.97,7
1,B05,Unassigned,1.35,3.39,-0.01,-0.02,7
1,B06,L_PBMC Fresh,1.35,30.78,16.24,28.89,7
1,B07,L_PBMC Fresh,1.35,30.69,14.06,25,7
1,B08,7 700K,1.35,45.65,42.59,75.74,7
1,B09,7 700K,1.35,41.19,34.72,61.75,6.6
1,B10,7A,1.35,14.5,10.22,18.18,7
1,B11,Unassigned,1.35,-1.05,-1.13,-2.01,7
1,B12,Background,1.35,0,0,0,
1,C01,Background,1.35,0,0,0,
1,C02,L_PBMC Fresh,1.35,56.23,13.86,24.64,7
1,C03,L_PBMC Fresh,1.35,44.52,14.58,25.92,7
1,C04,L_PBMC Fresh,1.35,47.47,16.78,29.83,7
1,C05,L_PBMC Fresh,1.35,46.81,19.8,35.21,7
1,C06,L_PBMC Fresh,1.35,29.49,12.95,23.02,2
1,C07,L_PBMC Fresh,1.35,21.77,15.24,27.11,2
1,C08,L_PBMC Fresh,1.35,46.72,17.65,31.4,2
1,C09,L_PBMC Fresh,1.35,58.13,29.38,52.24,2
1,C10,L_PBMC Fresh,1.35,42.54,16.15,28.71,5.62
1,C11,L_PBMC Fresh,1.35,44.3,15.98,28.41,5.62
1,C12,Background,1.35,0,0,0,
1,D01,Background,1.35,0,0,0,
1,D02,L_T Frozen 3wk,1.35,25.67,5.93,10.55,7
1,D03,L_T Frozen 3wk,1.35,19.79,7.38,13.12,7
1,D04,L_T Frozen 3wk,1.35,28.06,8.74,15.54,7
1,D05,Unassigned,1.35,2.47,-0.65,-1.15,7
1,D06,L_PBMC Fresh,1.35,16.02,19.28,34.29,5.11
1,D07,L_PBMC Fresh,1.35,14.68,13.94,24.78,5.11
1,D08,9 700K,1.35,9.85,7.74,13.77,4.52
1,D09,9 700K,1.35,23.06,6.46,11.48,6
1,D10,9 700K,1.35,16.4,9,16,6
1,D11,Unassigned,1.35,0.79,0.01,0.01,6
1,D12,Background,1.35,0,0,0,
1,E01,Background,1.35,0,0,0,
1,E02,L_PBMC Fresh,1.35,38.12,12.73,22.65,7
1,E03,L_PBMC Fresh,1.35,27.2,13.44,23.91,7
1,E04,L_PBMC Fresh,1.35,36.42,13.63,24.24,7
1,E05,L_PBMC Fresh,1.35,36.31,14.12,25.11,7
1,E06,L_PBMC Fresh,1.35,-21.1,12.22,21.73,7
1,E07,L_PBMC Fresh,1.35,19.67,17.15,30.49,7
1,E08,L_PBMC Fresh,1.35,28.93,13.93,24.77,7
1,E09,L_PBMC Fresh,1.35,32.16,15.44,27.46,4
1,E10,L_PBMC Fresh,1.35,29.2,18.46,32.82,4
1,E11,L_PBMC Fresh,1.35,32.14,14.29,25.42,4
1,E12,Background,1.35,0,0,0,
1,F01,Background,1.35,0,0,0,
1,F02,L_T Frozen 1da,1.35,36.41,11.22,19.96,6.37
1,F03,L_T Frozen 1da,1.35,19.27,11.14,19.82,6.37
