Measurement,Well,Group,Time,OCR,ECAR,PPR,Cell Number
1,A01,Background,1.35,0.00,0.00,0.00,
1,A02,Background,1.35,0.00,0.00,0.00,
1,A03,Background,1.35,0.00,0.00,0.00,
1,A04,Background,1.35,0.00,0.00,0.00,
1,A05,Background,1.35,0.00,0.00,0.00,
1,A06,Background,1.35,0.00,0.00,0.00,
1,A07,Background,1.35,0.00,0.00,0.00,
1,A08,Background,1.35,0.00,0.00,0.00,
1,A09,Background,1.35,0.00,0.00,0.00,
1,A10,Background,1.35,0.00,0.00,0.00,
1,A11,Background,1.35,0.00,0.00,0.00,
1,A12,Background,1.35,0.00,0.00,0.00,
1,B01,Background,1.35,0.00,0.00,0.00,
1,B02,L_PBMC,1.35,99.72,50.79,90.32,7
1,B03,Unassigned,1.35,8.29,1.04,1.85,
1,B04,L_PBMC,1.35,109.23,37.35,66.43,7
1,B05,L_PBMC,1.35,83.52,57.48,102.23,7
1,B06,ND_T,1.35,77.39,31.14,55.38,7
1,B07,T2D_T,1.35,70.34,47.66,84.75,7
1,B08,T2D_T,1.35,81.68,38.72,68.87,7
1,B09,L_T40,1.35,52.89,148.97,264.93,2
1,B10,T2D_T40,1.35,84.24,142.18,252.84,2
1,B11,ND_T40,1.35,71.89,125.93,223.96,2
1,B12,Background,1.35,0.00,0.00,0.00,
1,C01,Background,1.35,0.00,0.00,0.00,
1,C02,T2D_PBMC,1.35,83.17,27.24,48.45,7
1,C03,T2D_PBMC,1.35,80.68,24.73,43.98,7
1,C04,T2D_PBMC,1.35,76.88,36.89,65.61,7
1,C05,T2D_PBMC,1.35,76.41,31.81,56.57,7
1,C06,ND_T,1.35,78.68,29.69,52.80,7
1,C07,T2D_T,1.35,69.54,48.12,85.58,7
1,C08,T2D_T,1.35,94.86,39.37,70.02,7
1,C09,L_T40,1.35,56.28,145.13,258.10,2
1,C10,T2D_T40,1.35,80.37,134.58,239.34,2
1,C11,ND_T40,1.35,64.04,130.14,231.45,2
1,C12,Background,1.35,0.00,0.00,0.00,
1,D01,Background,1.35,0.00,0.00,0.00,
1,D02,ND_PBMC,1.35,88.95,34.46,61.28,7
1,D03,ND_PBMC,1.35,92.34,33.49,59.56,7
1,D04,ND_PBMC,1.35,80.15,36.14,64.27,7
1,D05,Unassigned,1.35,-8.47,-1.40,-2.48,
1,D06,ND_T,1.35,78.90,31.36,55.77,7
1,D07,T2D_T,1.35,68.67,51.58,91.73,7
1,D08,T2D_T,1.35,78.40,40.90,72.74,7
1,D09,L_T40,1.35,46.55,141.86,252.28,2
1,D10,T2D_T40,1.35,88.39,128.04,227.71,2
1,D11,ND_T40,1.35,101.44,143.58,255.34,2
1,D12,Background,1.35,0.00,0.00,0.00,
1,E01,Background,1.35,0.00,0.00,0.00,
1,E02,T2D_PBMC,1.35,150.21,88.73,157.79,7
1,E03,T2D_PBMC,1.35,141.61,82.78,147.21,7
1,E04,T2D_PBMC,1.35,150.50,92.47,164.45,7
1,E05,Unassigned,1.35,5.76,1.98,3.52,
1,E06,Unassigned,1.35,8.77,1.62,2.88,
1,E07,Unassigned,1.35,10.16,2.09,3.71,
1,E08,Unassigned,1.35,-0.53,3.59,6.39,
1,E09,T2D_T40,1.35,86.96,124.61,221.61,2
1,E10,T2D_T40,1.35,84.05,124.18,220.84,2
1,E11,ND_T40,1.35,78.81,136.47,242.69,2
1,E12,Background,1.35,0.00,0.00,0.00,
1,F01,Background,1.35,0.00,0.00,0.00,
1,F02,L_T,1.35,62.46,27.27,48.49,7
1,F03,L_T,1.35,59.50,41.06,73.03,7
1,F04,L_T,1.35,62.25,39.79,70.76,7
1,F05,Unassigned,1.35,5.28,1.56,2.77,
1,F06,T1D_PBMC,1.35,49.59,26.87,47.79,7
1,F07,T1D_PBMC,1.35,60.36,29.02,51.62,7
1,F08,Unassigned,1.35,-3.24,4.38,7.79,
1,F09,T2D_T40,1.35,66.32,125.64,223.44,2
1,F10,T2D_T40,1.35,70.00,124.69,221.74,2
1,F11,Unassigned,1.35,8.54,0.34,0.60,
1,F12,Background,1.35,0.00,0.00,0.00,
1,G01,Background,1.35,0.00,0.00,0.00,
1,G02,ERROR,1.35,33.89,18.49,32.89,
1,G03,ERROR,1.35,-1.02,2.45,4.35,
1,G04,ERROR,1.35,34.92,21.06,37.45,
1,G05,Unassigned,1.35,0.82,2.34,4.17,
1,G06,T1D_PBMC,1.35,56.69,29.07,51.69,7
1,G07,T1D_PBMC,1.35,47.16,28.03,49.84,7
1,G08,Unassigned,1.35,-13.12,4.26,7.58,
1,G09,T2D_T40,1.35,69.31,112.44,199.96,2
1,G10,T2D_T40,1.35,50.92,105.60,187.80,1.71
1,G11,Unassigned,1.35,2.08,1.50,2.66,
1,G12,Background,1.35,0.00,0.00,0.00,
1,H01,Background,1.35,0.00,0.00,0.00,
1,H02,Background,1.35,0.00,0.00,0.00,
1,H03,Background,1.35,0.00,0.00,0.00,
1,H04,Background,1.35,0.00,0.00,0.00,
1,H05,Background,1.35,0.00,0.00,0.00,
1,H06,Background,1.35,0.00,0.00,0.00,
1,H07,Background,1.35,0.00,0.00,0.00,
1,H08,Background,1.35,0.00,0.00,0.00,
1,H09,Background,1.35,0.00,0.00,0.00,
1,H10,Background,1.35,0.00,0.00,0.00,
1,H11,Background,1.35,0.00,0.00,0.00,
1,H12,Background,1.35,0.00,0.00,0.00,
2,A01,Background,8.27,0.00,0.00,0.00,
2,A02,Background,8.27,0.00,0.00,0.00,
2,A03,Background,8.27,0.00,0.00,0.00,
2,A04,Background,8.27,0.00,0.00,0.00,
2,A05,Background,8.27,0.00,0.00,0.00,
2,A06,Background,8.27,0.00,0.00,0.00,
2,A07,Background,8.27,0.00,0.00,0.00,
2,A08,Background,8.27,0.00,0.00,0.00,
2,A09,Background,8.27,0.00,0.00,0.00,
2,A10,Background,8.27,0.00,0.00,0.00,
2,A11,Background,8.27,0.00,0.00,0.00,
2,A12,Background,8.27,0.00,0.00,0.00,
2,B01,Background,8.27,0.00,0.00,0.00,
2,B02,L_PBMC,8.27,93.46,40.27,71.62,7
2,B03,Unassigned,8.27,6.06,0.16,0.29,
2,B04,L_PBMC,8.27,103.80,29.63,52.70,7
2,B05,L_PBMC,8.27,82.98,45.97,81.76,7
2,B06,ND_T,8.27,76.21,23.48,41.76,7
2,B07,T2D_T,8.27,62.56,37.49,66.67,7
2,B08,T2D_T,8.27,71.04,31.04,55.20,7
2,B09,L_T40,8.27,42.98,130.84,232.68,2
2,B10,T2D_T40,8.27,72.81,122.40,217.68,2
2,B11,ND_T40,8.27,61.97,98.68,175.48,2
2,B12,Background,8.27,0.00,0.00,0.00,
2,C01,Background,8.27,0.00,0.00,0.00,
2,C02,T2D_PBMC,8.27,80.28,21.92,38.98,7
2,C03,T2D_PBMC,8.27,77.43,18.44,32.80,7
2,C04,T2D_PBMC,8.27,69.89,27.03,48.06,7
2,C05,T2D_PBMC,8.27,70.42,25.19,44.80,7
2,C06,ND_T,8.27,71.65,22.81,40.57,7
2,C07,T2D_T,8.27,66.15,36.09,64.19,7
2,C08,T2D_T,8.27,86.17,30.15,53.62,7
2,C09,L_T40,8.27,46.84,131.14,233.23,2
2,C10,T2D_T40,8.27,74.29,124.02,220.55,2
2,C11,ND_T40,8.27,57.67,100.35,178.46,2
2,C12,Background,8.27,0.00,0.00,0.00,
2,D01,Background,8.27,0.00,0.00,0.00,
2,D02,ND_PBMC,8.27,82.16,31.34,55.74,7
2,D03,ND_PBMC,8.27,83.71,29.06,51.68,7
2,D04,ND_PBMC,8.27,70.61,31.60,56.19,7
2,D05,Unassigned,8.27,-7.56,-1.23,-2.18,
2,D06,ND_T,8.27,68.64,24.65,43.84,7
2,D07,T2D_T,8.27,60.50,39.48,70.21,7
2,D08,T2D_T,8.27,66.89,31.65,56.28,7
