Measurement,Well,Group,Time,OCR,ECAR,PPR,Cell Number,
1,A01,Background,1.35,0.00,0.00,0.00,,
1,A02,Background,1.35,0.00,0.00,0.00,,
1,A03,ND_PBMC,1.35,60.24,31.99,56.90,7,
1,A04,ND_PBMC,1.35,60.19,24.38,43.36,7,
1,A05,T2D_PBMC,1.35,77.41,25.11,44.66,7,
1,A06,Unassigned,1.35,-3.38,1.01,1.80,,
1,A07,SVC006,1.35,11.74,0.86,1.53,1.533972233,
1,A08,SVC006,1.35,9.49,1.26,2.25,1.533972233,
1,A09,L_T40,1.35,93.20,80.31,142.82,2,
1,A10,Unassigned,1.35,3.91,-0.46,-0.81,,
1,A11,Unassigned,1.35,-22.26,-1.47,-2.62,,
1,A12,Background,1.35,0.00,0.00,0.00,,
1,B01,L_PBMC,1.35,50.91,18.41,32.74,7,
1,B02,L_PBMC,1.35,48.90,18.69,33.24,7,
1,B03,ND_PBMC,1.35,61.62,32.99,58.67,7,
1,B04,ND_PBMC,1.35,80.61,27.47,48.86,7,
1,B05,T2D_PBMC,1.35,101.05,29.75,52.90,7,
1,B06,ND_T,1.35,41.31,8.92,15.86,0.566847826,
1,B07,ND_T,1.35,33.45,6.07,10.79,0.551630435,
1,B08,SVC006,1.35,16.46,0.77,1.37,,
1,B09,L_T40,1.35,118.03,98.74,175.60,2,
1,B10,ND_T40,1.35,56.37,57.25,101.81,15.5875,
1,B11,T2D_T40,1.35,25.29,46.35,82.43,2,
1,B12,Background,1.35,0.00,0.00,0.00,,
1,C01,L_PBMC,1.35,53.48,21.98,39.09,7,
1,C02,L_PBMC,1.35,44.74,20.54,36.52,7,
1,C03,ND_PBMC,1.35,61.85,32.58,57.94,7,
1,C04,ND_PBMC,1.35,75.16,30.17,53.66,7,
1,C05,T2D_PBMC,1.35,97.28,32.53,57.85,7,
1,C06,ND_T,1.35,39.25,14.13,25.13,5.668478269,
1,C07,ND_T,1.35,26.39,6.07,10.79,5.516343478,
1,C08,SVC006,1.35,13.17,1.82,3.25,1.533972233,
1,C09,L_T40,1.35,107.72,102.12,181.61,2,
1,C10,ND_T40,1.35,61.62,77.40,137.65,1.88125,
1,C11,ND_T40,1.35,36.58,45.95,81.72,1.33984375,
1,C12,Background,1.35,0.00,0.00,0.00,,
1,D01,L_T,1.35,34.37,10.12,18.00,7,
1,D02,L_T,1.35,29.83,12.86,22.87,7,
1,D03,ND_PBMC,1.35,65.98,38.95,69.27,7,
1,D04,ND_PBMC,1.35,81.04,29.29,52.09,7,
1,D05,T2D_PBMC,1.35,81.80,23.22,41.29,7,
1,D06,ND_T,1.35,41.31,13.60,24.18,5.668478269,
1,D07,ND_T,1.35,33.34,9.05,16.09,5.516343478,
1,D08,SVC006,1.35,15.35,3.27,5.81,1.533972233,
1,D09,L_T40,1.35,113.77,104.29,185.48,2,
1,D10,ND_T40,1.35,71.23,84.82,150.85,1.88125,
1,D11,ND_T40,1.35,36.55,53.91,95.87,1.33984375,
1,D12,Background,1.35,0.00,0.00,0.00,,
1,E01,L_T,1.35,38.08,12.20,21.70,7,
1,E02,L_T,1.35,28.85,12.97,23.07,7,
1,E03,ND_PBMC,1.35,71.39,26.71,47.49,7,
1,E04,ND_PBMC,1.35,54.64,26.00,46.24,7,
1,E05,ND_T,1.35,41.48,20.63,36.68,7,
1,E06,ND_T,1.35,85.69,25.53,45.41,6.125,
1,E07,T2D_T,1.35,44.48,18.89,33.59,7,
1,E08,SVC007,1.35,11.95,7.17,12.76,0.304347826,
1,E09,ND_T40,1.35,45.54,62.16,110.55,2,
1,E10,ND_T40,1.35,47.95,67.73,120.45,2,
1,E11,T2D_T40,1.35,37.20,58.63,104.27,2,
1,E12,Background,1.35,0.00,0.00,0.00,,
1,F01,Background,1.35,0.00,0.00,0.00,,
1,F02,SVC002,1.35,69.61,23.41,41.64,47.03125,
1,F03,ND_PBMC,1.35,71.73,30.20,53.70,7,
1,F04,ND_PBMC,1.35,54.77,39.24,69.79,7,
1,F05,ND_T,1.35,29.71,23.35,41.52,7,
1,F06,ND_T,1.35,84.15,23.31,41.45,6.125,
1,F07,T2D_T,1.35,46.04,18.34,32.62,7,
1,F08,SVC007,1.35,12.18,8.73,15.53,6.218695652,
1,F09,ND_T40,1.35,53.96,67.83,120.62,2,
1,F10,ND_T40,1.35,47.47,66.68,118.58,2,
1,F11,T2D_T40,1.35,-1.78,54.27,96.51,2,
1,F12,Background,1.35,0.00,0.00,0.00,,
1,G01,Background,1.35,0.00,0.00,0.00,,
1,G02,SVC003,1.35,18.55,8.08,14.36,36.09375,
1,G03,ND_PBMC,1.35,60.14,25.67,45.65,7,
1,G04,ND_PBMC,1.35,50.38,25.54,45.41,7,
1,G05,ND_T,1.35,37.83,19.25,34.24,7,
1,G06,ND_T,1.35,87.17,26.16,46.52,6.125,
1,G07,T2D_T,1.35,47.01,15.50,27.56,7,
1,G08,SVC007,1.35,19.67,8.23,14.63,6.218695652,
1,G09,ND_T40,1.35,46.52,73.20,130.18,2,
1,G10,ND_T40,1.35,44.14,69.38,123.38,2,
1,G11,T2D_T40,1.35,35.07,65.47,116.43,2,
1,G12,Background,1.35,0.00,0.00,0.00,,
1,H01,Background,1.35,0.00,0.00,0.00,,
1,H02,Unassigned,1.35,-4.33,0.94,1.68,,
1,H03,ND_PBMC,1.35,64.83,25.17,44.76,7,
1,H04,ND_PBMC,1.35,42.42,25.24,44.89,7,
1,H05,ND_T,1.35,32.98,19.97,35.51,7,
1,H06,Unassigned,1.35,-0.78,1.34,2.39,,
1,H07,T2D_T,1.35,45.55,16.77,29.82,,
1,H08,Unassigned,1.35,1.78,1.52,2.71,,
1,H09,ND_T40,1.35,46.47,62.18,110.58,2,
1,H10,ND_T40,1.35,47.21,74.93,133.25,2,
1,H11,Unassigned,1.35,-0.45,0.94,1.66,,
1,H12,Background,1.35,0.00,0.00,0.00,,
2,A01,Background,8.28,0.00,0.00,0.00,,
2,A02,Background,8.28,0.00,0.00,0.00,,
2,A03,ND_PBMC,8.28,59.78,28.40,50.50,7,
2,A04,ND_PBMC,8.28,64.30,21.12,37.56,7,
2,A05,T2D_PBMC,8.28,76.87,23.86,42.44,7,
2,A06,Unassigned,8.28,-1.93,0.86,1.53,,
2,A07,SVC006,8.28,12.68,1.23,2.18,1.533972233,
2,A08,SVC006,8.28,10.55,1.24,2.20,1.533972233,
2,A09,L_T40,8.28,87.31,70.20,124.84,2,
2,A10,Unassigned,8.28,3.72,-0.07,-0.13,,
2,A11,Unassigned,8.28,-21.87,-0.54,-0.96,,
2,A12,Background,8.28,0.00,0.00,0.00,,
2,B01,L_PBMC,8.28,49.66,15.36,27.31,7,
2,B02,L_PBMC,8.28,49.14,15.10,26.85,7,
2,B03,ND_PBMC,8.28,62.61,27.87,49.57,7,
2,B04,ND_PBMC,8.28,79.99,21.29,37.86,7,
2,B05,T2D_PBMC,8.28,101.43,26.89,47.82,7,
2,B06,ND_T,8.28,44.41,8.21,14.60,0.566847826,
2,B07,ND_T,8.28,32.25,3.87,6.87,0.551630435,
2,B08,SVC006,8.28,15.78,0.15,0.26,,
2,B09,L_T40,8.28,107.80,86.47,153.78,2,
2,B10,ND_T40,8.28,53.45,47.61,84.68,15.5875,
2,B11,T2D_T40,8.28,26.00,38.28,68.08,2,
2,B12,Background,8.28,0.00,0.00,0.00,,
2,C01,L_PBMC,8.28,52.67,19.59,34.84,7,
2,C02,L_PBMC,8.28,40.78,16.39,29.15,7,
2,C03,ND_PBMC,8.28,61.43,28.49,50.66,7,
2,C04,ND_PBMC,8.28,75.40,25.37,45.12,7,
2,C05,T2D_PBMC,8.28,97.84,30.30,53.88,7,
2,C06,ND_T,8.28,39.06,11.52,20.48,5.668478269,
2,C07,ND_T,8.28,24.72,4.97,8.83,5.516343478,
2,C08,SVC006,8.28,12.78,1.84,3.27,1.533972233,
