Measurement,Well,Group,Time,OCR,ECAR,PPR,Cell Number
1,A01,Background,1.35,0,0,0,
1,A02,Background,1.35,0,0,0,
1,A03,Background,1.35,0,0,0,
1,A04,Background,1.35,0,0,0,
1,A05,Background,1.35,0,0,0,
1,A06,Background,1.35,0,0,0,
1,A07,Background,1.35,0,0,0,
1,A08,Background,1.35,0,0,0,
1,A09,Background,1.35,0,0,0,
1,A10,Background,1.35,0,0,0,
1,A11,Background,1.35,0,0,0,
1,A12,Background,1.35,0,0,0,
1,B01,Background,1.35,0,0,0,
1,B02,ND_PBMC,1.35,1.61,1.03,1.84,7
1,B03,T2D_PBMC,1.35,68.63,28.84,51.29,7
1,B04,L_PBMC,1.35,111.51,62.45,111.07,7
1,B05,Unassigned,1.35,-0.59,-0.24,-0.43,
1,B06,ND_T40,1.35,28.06,27.1,48.2,1.7
1,B07,T2D_T40,1.35,40.74,65.48,116.44,1.62
1,B08,ND_TB40,1.35,16.25,25.9,46.05,2.1
1,B09,T2D_TB40,1.35,36.59,78.83,140.19,2.04
1,B10,ND_PBMC40,1.35,34.09,38.84,69.07,1.95
1,B11,T2D_PBMC40,1.35,77.93,94.1,167.35,2
1,B12,Background,1.35,0,0,0,
1,C01,Background,1.35,0,0,0,
1,C02,ND_PBMC,1.35,-3.59,1.86,3.32,7
1,C03,T2D_PBMC,1.35,63.67,30.53,54.3,7
1,C04,L_PBMC,1.35,124.81,84,149.39,7
1,C05,Unassigned,1.35,-70.95,-1.09,-1.95,
1,C06,ND_T40,1.35,30.74,30.83,54.82,1.7
1,C07,T2D_T40,1.35,39.58,54.23,96.44,1.62
1,C08,ND_TB40,1.35,13.98,23.4,41.62,2.1
1,C09,T2D_TB40,1.35,78.93,91.23,162.25,2.04
1,C10,ND_PBMC40,1.35,33.76,45.27,80.5,1.95
1,C11,T2D_PBMC40,1.35,68.29,90.26,160.52,2
1,C12,Background,1.35,0,0,0,
1,D01,Background,1.35,0,0,0,
1,D02,ND_PBMC,1.35,-3.78,1.82,3.24,7
1,D03,T2D_PBMC,1.35,58.92,27.98,49.77,7
1,D04,L_PBMC,1.35,109.03,66.58,118.4,7
1,D05,Unassigned,1.35,-4.11,-0.14,-0.25,
1,D06,Unassigned,1.35,-4.17,-0.26,-0.46,
1,D07,Unassigned,1.35,2.6,-0.39,-0.69,
1,D08,Unassigned,1.35,-13.42,3.31,5.88,
1,D09,Unassigned,1.35,-2.82,-1.87,-3.32,
1,D10,Unassigned,1.35,-3.98,-0.99,-1.75,
1,D11,T2D_PBMC40,1.35,63.35,84.13,149.62,
1,D12,Background,1.35,0,0,0,
1,E01,Background,1.35,0,0,0,
1,E02,ND_PBMC,1.35,2.94,1.28,2.27,7
1,E03,T2D_PBMC,1.35,58.21,28.86,51.32,7
1,E04,L_PBMC,1.35,118.82,66.4,118.08,7
1,E05,Unassigned,1.35,-0.52,0.11,0.19,
1,E06,Unassigned,1.35,1.05,-0.34,-0.61,
1,E07,Unassigned,1.35,0.28,-0.61,-1.08,
1,E08,Unassigned,1.35,-3.89,-0.07,-0.12,
1,E09,Unassigned,1.35,3.32,-0.16,-0.29,
1,E10,Unassigned,1.35,-8.38,0.91,1.61,
1,E11,T2D_PBMC40,1.35,53.7,91.54,162.79,
1,E12,Background,1.35,0,0,0,
1,F01,Background,1.35,0,0,0,
1,F02,Unassigned,1.35,-1.04,0.52,0.92,
1,F03,Unassigned,1.35,0.83,-0.41,-0.72,
1,F04,Unassigned,1.35,-0.88,0.32,0.57,
1,F05,Unassigned,1.35,1.42,0.21,0.38,
1,F06,Unassigned,1.35,2.48,-0.21,-0.37,
