Measurement,Well,Group,Time,OCR,ECAR,PPR,Cell Number
1,A01,Background,1.42,0,0,0,
1,A02,Background,1.42,0,0,0,
1,A03,Background,1.42,0,0,0,
1,A04,Background,1.42,0,0,0,
1,A05,Background,1.42,0,0,0,
1,A06,Background,1.42,0,0,0,
1,A07,Background,1.42,0,0,0,
1,A08,Background,1.42,0,0,0,
1,A09,Background,1.42,0,0,0,
1,A10,Background,1.42,0,0,0,
1,A11,Background,1.42,0,0,0,
1,A12,Background,1.42,0,0,0,
1,B01,Background,1.42,0,0,0,
1,B02,ND_T40 (1.0),1.42,92.8,107.62,191.39,2
1,B03,T2D_T40 (1.0),1.42,71.69,94.67,168.36,2
1,B04,ND_T40 (1.5),1.42,113.94,128.34,228.25,2
1,B05,T2D_T40 (1.5),1.42,62.5,95.56,169.94,2
1,B06,ND_T40,1.42,93.28,102.84,182.89,2
1,B07,T2D_T40,1.42,55.88,90.3,160.58,2
1,B08,ND_T40 (3.0),1.42,89.61,120.01,213.43,2
1,B09,T2D_T40 (3.0),1.42,52.88,92.01,163.63,2
1,B10,ND_T40 (5.0),1.42,81.64,104.73,186.25,2
1,B11,T2D_T40 (5.0),1.42,60.24,86.72,154.23,2
1,B12,Background,1.42,0,0,0,
1,C01,Background,1.42,0,0,0,
1,C02,ND_T40 (1.0),1.42,102.05,114.75,204.08,2
1,C03,T2D_T40 (1.0),1.42,69.82,102.65,182.54,2
1,C04,ND_T40 (1.5),1.42,108.07,132.46,235.56,2
1,C05,Unassigned,1.42,-3.54,-0.63,-1.12,2
1,C06,ND_T40,1.42,90.82,103.68,184.39,2
1,C07,T2D_T40,1.42,57.98,104.95,186.65,2
1,C08,ND_T40 (3.0),1.42,87.6,115.98,206.26,2
1,C09,T2D_T40 (3.0),1.42,51.19,84.33,149.98,2
1,C10,ND_T40 (5.0),1.42,78.93,115.47,205.36,2
1,C11,T2D_T40 (5.0),1.42,62.96,95.41,169.68,2
1,C12,Background,1.42,0,0,0,
1,D01,Background,1.42,0,0,0,
1,D02,ND_T40 (1.0),1.42,94.64,113.19,201.29,2
1,D03,Unassigned,1.42,-2.17,0.69,1.22,
1,D04,ND_T40 (1.5),1.42,108.64,133.42,237.28,2
1,D05,Unassigned,1.42,-10.85,-1.79,-3.18,
1,D06,ND_T40,1.42,75.14,103.45,183.97,2
1,D07,Unassigned,1.42,-7.54,-0.41,-0.73,
1,D08,ND_T40 (3.0),1.42,119.65,148.41,263.93,2
1,D09,T2D_T40 (3.0),1.42,48.38,87.38,155.4,1.714
1,D10,ND_T40 (5.0),1.42,79.23,114.37,203.4,2
1,D11,Unassigned,1.42,-1.82,0.24,0.43,
1,D12,Background,1.42,0,0,0,
1,E01,Background,1.42,0,0,0,
1,E02,ND_T40 (1.0),1.42,88.99,111.35,198.03,2
1,E03,Unassigned,1.42,0.13,-0.06,-0.11,
1,E04,ND_T40 (1.5),1.42,-0.58,-1.59,-2.83,2
1,E05,Unassigned,1.42,-3.08,1.02,1.81,
1,E06,ND_T40,1.42,101.84,131.88,234.54,2
1,E07,Unassigned,1.42,-3.07,1.44,2.55,
1,E08,ND_T40 (3.0),1.42,79.24,116.7,207.54,2
1,E09,Unassigned,1.42,-1.22,0.23,0.41,
1,E10,ND_T40 (5.0),1.42,67.76,112.52,200.11,2
1,E11,Unassigned,1.42,-0.55,-0.62,-1.1,
1,E12,Background,1.42,0,0,0,
1,F01,Background,1.42,0,0,0,
1,F02,ND_PBMC,1.42,77.55,25.15,44.72,7
1,F03,ND_PBMC,1.42,75.17,24.39,43.38,7
1,F04,ND_PBMC,1.42,76.2,22.9,40.73,7
1,F05,ND_PBMC,1.42,70.31,27.86,49.54,7
1,F06,T2D_PBMC,1.42,54.41,18.38,32.68,7
1,F07,T2D_PBMC,1.42,56.22,22.81,40.56,7
1,F08,T2D_PBMC,1.42,56.08,28.19,50.13,7
1,F09,T2D_PBMC,1.42,57.61,21.45,38.15,7
1,F10,ND_PBMC (5.0),1.42,73.94,26.65,47.39,7
1,F11,ND_PBMC (5.0),1.42,76.52,25.34,45.06,7
1,F12,Background,1.42,0,0,0,
1,G01,Background,1.42,0,0,0,
1,G02,ND_T,1.42,33.38,9.26,16.47,7
1,G03,ND_T,1.42,37.97,10.86,19.32,7
1,G04,ND_T,1.42,33.93,9.41,16.73,7
1,G05,ND_T,1.42,25.71,9.49,16.88,6
1,G06,T2D_T,1.42,29.19,5.8,10.31,7
1,G07,T2D_T,1.42,34.69,7.9,14.05,7
1,G08,T2D_T,1.42,25.56,10.44,18.56,7
1,G09,T2D_T,1.42,27.45,7.68,13.66,7
1,G10,T2D_T (5.0),1.42,56.87,23.43,41.66,7
1,G11,T2D_T (5.0),1.42,61.6,24.44,43.47,7
1,G12,Background,1.42,0,0,0,
1,H01,Background,1.42,0,0,0,
1,H02,Background,1.42,0,0,0,
1,H03,Background,1.42,0,0,0,
1,H04,Background,1.42,0,0,0,
1,H05,Background,1.42,0,0,0,
1,H06,Background,1.42,0,0,0,
1,H07,Background,1.42,0,0,0,
1,H08,Background,1.42,0,0,0,
1,H09,Background,1.42,0,0,0,
1,H10,Background,1.42,0,0,0,
1,H11,Background,1.42,0,0,0,
1,H12,Background,1.42,0,0,0,
2,A01,Background,8.17,0,0,0,
2,A02,Background,8.17,0,0,0,
2,A03,Background,8.17,0,0,0,
2,A04,Background,8.17,0,0,0,
2,A05,Background,8.17,0,0,0,
2,A06,Background,8.17,0,0,0,
2,A07,Background,8.17,0,0,0,
2,A08,Background,8.17,0,0,0,
2,A09,Background,8.17,0,0,0,
2,A10,Background,8.17,0,0,0,
2,A11,Background,8.17,0,0,0,
2,A12,Background,8.17,0,0,0,
2,B01,Background,8.17,0,0,0,
2,B02,ND_T40 (1.0),8.17,88.65,99.2,176.41,2
2,B03,T2D_T40 (1.0),8.17,67.73,90.41,160.78,2
2,B04,ND_T40 (1.5),8.17,109.47,120.39,214.1,2
2,B05,T2D_T40 (1.5),8.17,58.44,94.59,168.21,2
2,B06,ND_T40,8.17,89,93.66,166.57,2
2,B07,T2D_T40,8.17,52.94,84.66,150.56,2
2,B08,ND_T40 (3.0),8.17,83,118.5,210.74,2
2,B09,T2D_T40 (3.0),8.17,48.36,81.06,144.16,2
2,B10,ND_T40 (5.0),8.17,79.66,100.29,178.36,2
2,B11,T2D_T40 (5.0),8.17,56.5,79.88,142.06,2
2,B12,Background,8.17,0,0,0,
2,C01,Background,8.17,0,0,0,
2,C02,ND_T40 (1.0),8.17,98.48,108.03,192.12,2
2,C03,T2D_T40 (1.0),8.17,66.13,93.09,165.54,2
2,C04,ND_T40 (1.5),8.17,103.95,123.6,219.81,2
2,C05,Unassigned,8.17,-2.58,-0.53,-0.94,2
2,C06,ND_T40,8.17,85.89,99.47,176.9,2
2,C07,T2D_T40,8.17,52.59,102.01,181.41,2
2,C08,ND_T40 (3.0),8.17,82.14,105.99,188.5,2
2,C09,T2D_T40 (3.0),8.17,48.53,78.79,140.12,2
2,C10,ND_T40 (5.0),8.17,75.11,113.59,202.02,2
2,C11,T2D_T40 (5.0),8.17,58.9,89.07,158.4,2
2,C12,Background,8.17,0,0,0,
2,D01,Background,8.17,0,0,0,
2,D02,ND_T40 (1.0),8.17,90.79,105.09,186.89,2
2,D03,Unassigned,8.17,-0.94,0.81,1.44,
2,D04,ND_T40 (1.5),8.17,106.69,127.66,227.04,2
2,D05,Unassigned,8.17,-7.53,-0.76,-1.35,
2,D06,ND_T40,8.17,71.48,92.71,164.88,2
2,D07,Unassigned,8.17,-6.03,0.11,0.19,
2,D08,ND_T40 (3.0),8.17,118.05,142.13,252.77,2
2,D09,T2D_T40 (3.0),8.17,45.64,76.87,136.71,1.714
2,D10,ND_T40 (5.0),8.17,75.1,107.3,190.82,2
2,D11,Unassigned,8.17,-3.15,0.21,0.38,
2,D12,Background,8.17,0,0,0,
2,E01,Background,8.17,0,0,0,
2,E02,ND_T40 (1.0),8.17,84.44,102.74,182.71,2
2,E03,Unassigned,8.17,0.17,0.13,0.24,
2,E04,ND_T40 (1.5),8.17,-1.18,-1.14,-2.03,2
2,E05,Unassigned,8.17,-0.22,1.01,1.79,
2,E06,ND_T40,8.17,95.96,127.85,227.37,2
2,E07,Unassigned,8.17,-2.35,1,1.79,
2,E08,ND_T40 (3.0),8.17,75.39,110.13,195.86,2
2,E09,Unassigned,8.17,-1.93,0.73,1.3,
2,E10,ND_T40 (5.0),8.17,66.28,104.85,186.47,2
2,E11,Unassigned,8.17,-1.19,-0.32,-0.57,
2,E12,Background,8.17,0,0,0,
2,F01,Background,8.17,0,0,0,
2,F02,ND_PBMC,8.17,81.24,23.81,42.35,7
2,F03,ND_PBMC,8.17,80.57,23.06,41.01,7
2,F04,ND_PBMC,8.17,78.09,21.15,37.61,7
2,F05,ND_PBMC,8.17,75.91,25.74,45.78,7
2,F06,T2D_PBMC,8.17,55.5,17.05,30.32,7
2,F07,T2D_PBMC,8.17,57.73,21.95,39.04,7
2,F08,T2D_PBMC,8.17,59.85,25.6,45.52,7
2,F09,T2D_PBMC,8.17,59.83,18.38,32.69,7
2,F10,ND_PBMC (5.0),8.17,78.08,23.44,41.68,7
2,F11,ND_PBMC (5.0),8.17,78.36,22.92,40.77,7
2,F12,Background,8.17,0,0,0,
2,G01,Background,8.17,0,0,0,
2,G02,ND_T,8.17,36.42,9.88,17.58,7
2,G03,ND_T,8.17,40.45,10.52,18.72,7
2,G04,ND_T,8.17,37.1,8.44,15.01,7
2,G05,ND_T,8.17,29.53,9.11,16.2,6
2,G06,T2D_T,8.17,29.38,5.27,9.37,7
2,G07,T2D_T,8.17,33.45,7.2,12.81,7
2,G08,T2D_T,8.17,26.62,9.39,16.7,7
2,G09,T2D_T,8.17,29.77,7.07,12.58,7
2,G10,T2D_T (5.0),8.17,59.11,21.34,37.95,7
2,G11,T2D_T (5.0),8.17,63.55,22.63,40.24,7
2,G12,Background,8.17,0,0,0,
2,H01,Background,8.17,0,0,0,
2,H02,Background,8.17,0,0,0,
2,H03,Background,8.17,0,0,0,
2,H04,Background,8.17,0,0,0,
2,H05,Background,8.17,0,0,0,
2,H06,Background,8.17,0,0,0,
2,H07,Background,8.17,0,0,0,
2,H08,Background,8.17,0,0,0,
2,H09,Background,8.17,0,0,0,
2,H10,Background,8.17,0,0,0,
2,H11,Background,8.17,0,0,0,
2,H12,Background,8.17,0,0,0,
3,A01,Background,14.96,0,0,0,
3,A02,Background,14.96,0,0,0,
3,A03,Background,14.96,0,0,0,
3,A04,Background,14.96,0,0,0,
3,A05,Background,14.96,0,0,0,
3,A06,Background,14.96,0,0,0,
3,A07,Background,14.96,0,0,0,
3,A08,Background,14.96,0,0,0,
3,A09,Background,14.96,0,0,0,
3,A10,Background,14.96,0,0,0,
3,A11,Background,14.96,0,0,0,
3,A12,Background,14.96,0,0,0,
3,B01,Background,14.96,0,0,0,
3,B02,ND_T40 (1.0),14.96,92.8,107.62,191.39,2
3,B03,T2D_T40 (1.0),14.96,71.69,94.67,168.36,2
3,B04,ND_T40 (1.5),14.96,113.94,128.34,228.25,2
3,B05,T2D_T40 (1.5),14.96,62.5,95.56,169.94,2
3,B06,ND_T40,14.96,93.28,102.84,182.89,2
3,B07,T2D_T40,14.96,55.88,90.3,160.58,2
3,B08,ND_T40 (3.0),14.96,89.61,120.01,213.43,2
3,B09,T2D_T40 (3.0),14.96,52.88,92.01,163.63,2
3,B10,ND_T40 (5.0),14.96,81.64,104.73,186.25,2
3,B11,T2D_T40 (5.0),14.96,60.24,86.72,154.23,2
3,B12,Background,14.96,0,0,0,
3,C01,Background,14.96,0,0,0,
3,C02,ND_T40 (1.0),14.96,102.05,114.75,204.08,2
3,C03,T2D_T40 (1.0),14.96,69.82,102.65,182.54,2
3,C04,ND_T40 (1.5),14.96,108.07,132.46,235.56,2
3,C05,Unassigned,14.96,-3.54,-0.63,-1.12,2
3,C06,ND_T40,14.96,90.82,103.68,184.39,2
3,C07,T2D_T40,14.96,57.98,104.95,186.65,2
3,C08,ND_T40 (3.0),14.96,87.6,115.98,206.26,2
3,C09,T2D_T40 (3.0),14.96,51.19,84.33,149.98,2
3,C10,ND_T40 (5.0),14.96,78.93,115.47,205.36,2
3,C11,T2D_T40 (5.0),14.96,62.96,95.41,169.68,2
3,C12,Background,14.96,0,0,0,
3,D01,Background,14.96,0,0,0,
3,D02,ND_T40 (1.0),14.96,94.64,113.19,201.29,2
3,D03,Unassigned,14.96,-2.17,0.69,1.22,
3,D04,ND_T40 (1.5),14.96,108.64,133.42,237.28,2
3,D05,Unassigned,14.96,-10.85,-1.79,-3.18,
3,D06,ND_T40,14.96,75.14,103.45,183.97,2
3,D07,Unassigned,14.96,-7.54,-0.41,-0.73,
3,D08,ND_T40 (3.0),14.96,119.65,148.41,263.93,2
3,D09,T2D_T40 (3.0),14.96,48.38,87.38,155.4,1.714
3,D10,ND_T40 (5.0),14.96,79.23,114.37,203.4,2
3,D11,Unassigned,14.96,-1.82,0.24,0.43,
3,D12,Background,14.96,0,0,0,
3,E01,Background,14.96,0,0,0,
3,E02,ND_T40 (1.0),14.96,88.99,111.35,198.03,2
3,E03,Unassigned,14.96,0.13,-0.06,-0.11,
3,E04,ND_T40 (1.5),14.96,-0.58,-1.59,-2.83,2
3,E05,Unassigned,14.96,-3.08,1.02,1.81,
3,E06,ND_T40,14.96,101.84,131.88,234.54,2
3,E07,Unassigned,14.96,-3.07,1.44,2.55,
3,E08,ND_T40 (3.0),14.96,79.24,116.7,207.54,2
3,E09,Unassigned,14.96,-1.22,0.23,0.41,
3,E10,ND_T40 (5.0),14.96,67.76,112.52,200.11,2
3,E11,Unassigned,14.96,-0.55,-0.62,-1.1,
3,E12,Background,14.96,0,0,0,
3,F01,Background,14.96,0,0,0,
3,F02,ND_PBMC,14.96,77.55,25.15,44.72,7
3,F03,ND_PBMC,14.96,75.17,24.39,43.38,7
3,F04,ND_PBMC,14.96,76.2,22.9,40.73,7
