Measurement,Well,Group,Time,OCR,ECAR,PPR,Cell Number
1,A01,Background,1.35,0,0,0,
1,A02,Unassigned,1.35,52.32,16.58,29.49,
1,A03,Unassigned,1.35,41.83,32.64,58.04,
1,A04,Unassigned,1.35,36.48,25.89,46.04,
1,A05,Unassigned,1.35,40.88,24.67,43.88,
1,A06,Unassigned,1.35,54.23,32.65,58.06,
1,A07,Unassigned,1.35,39.5,39.86,70.89,
1,A08,Unassigned,1.35,30.58,20.53,36.51,
1,A09,Unassigned,1.35,66.29,57.1,101.54,
1,A10,Unassigned,1.35,24.06,32.98,58.64,
1,A11,Unassigned,1.35,44.62,-43.42,-77.21,
1,A12,Background,1.35,0,0,0,
1,B01,Background,1.35,0,0,0,
1,B02,Unassigned,1.35,80.99,-7.24,-12.87,
1,B03,L_PBMC RT,1.35,56.79,32.43,57.67,6.5
1,B04,L_PBMC RT,1.35,60.96,33.46,59.51,6.5
1,B05,L_PBMC RT,1.35,61.35,35.39,62.94,6.5
1,B06,L_PBMC RT,1.35,58.25,31.77,56.51,6.5
1,B07,L_PBMC RT,1.35,65.66,34.82,61.93,7
1,B08,L_PBMC RT,1.35,69.59,39.1,69.54,7
1,B09,L_PBMC RT,1.35,72.28,36.19,64.37,7
1,B10,L_PBMC RT,1.35,74.55,38.64,68.71,7
1,B11,Unassigned,1.35,-93.57,-28.63,-50.91,
1,B12,Background,1.35,0,0,0,
1,C01,Background,1.35,0,0,0,
1,C02,Unassigned,1.35,20.41,-0.26,-0.45,
1,C03,L_PBMC RT,1.35,63.69,29.8,52.99,6.5
1,C04,L_PBMC RT,1.35,64.26,36.6,65.09,6.5
1,C05,L_PBMC RT,1.35,59.61,35.87,63.79,6.5
1,C06,L_PBMC RT,1.35,54.75,32.66,58.08,6.5
1,C07,L_PBMC RT,1.35,75.48,47.64,84.73,7
1,C08,L_PBMC RT,1.35,71.33,44.44,79.02,7
1,C09,L_PBMC RT,1.35,75.12,38.06,67.69,7
1,C10,L_PBMC RT,1.35,67.94,41.09,73.07,7
1,C11,Unassigned,1.35,59.89,9.35,16.63,
1,C12,Background,1.35,0,0,0,
1,D01,Background,1.35,0,0,0,
1,D02,Unassigned,1.35,48.01,11.22,19.96,
